iteration,valid,copy_ms,init_ms,baseline_initialize_ms,baseline_repair_ms,baseline_idempotent_ms,baseline_check_ms,first_filesystem_rename_ms,first_precheck_ms,first_fix_ms,first_postcheck_ms,first_idempotent_ms,second_filesystem_rename_ms,second_precheck_ms,second_fix_ms,second_postcheck_ms,second_idempotent_ms,first_rename_cycle_ms,second_rename_cycle_ms,two_rename_cycles_ms,total_ms
1,True,328.3764,37.4914,4878.4563,518.0809,314.5784,170.1991,257.7025,1128.4835,1992.4567,1047.3064,1250.6016,247.729,1117.4932,1967.426,1017.6327,1185.5506,5676.5507,5535.8315,11212.3822,17459.7576
2,True,391.3021,21.1437,3684.1046,525.8363,326.1748,157.8158,278.8507,1196.3654,1992.9187,1109.2871,1186.3416,246.7988,1191.7914,1979.7763,1051.612,1328.6471,5763.763499999999,5798.6256,11562.3891,16668.9262
3,True,438.9147,31.9064,3845.3038,530.9863,308.2856,163.8385,269.7782,1129.8643,1922.8022,1075.6302,1185.2185,240.0875,1171.1543,1970.1785,1061.3426,1279.3581,5583.2934,5722.120999999999,11305.414399999998,16624.8083
4,True,425.2034,21.0958,3687.1404,624.1625,334.5667,173.7427,293.021,1112.7079,1928.2897,1050.5769,1350.3487,257.6735,1220.2449,2000.1762,1094.5884,1193.489,5734.9442,5766.1720000000005,11501.1162,16767.1754
5,True,412.8752,23.2627,3843.9085,663.1487,323.9007,208.7635,279.5511,1275.2204,1883.0713,1042.1047,1191.8032,252.4398,1176.8593,2015.9032,1021.598,1140.1332,5671.7507000000005,5606.9335,11278.6842,16754.6788
